"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-22","4.4"," 0059"," 0054","0.0",,"0.0","229.0",,"-1.7","-6.7",,"  250","  240","0.0","9.8","11.6","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-23","5.7"," 1850"," 1934","0.0",,"3.0","203.0",,"0.6","-7.8",,"  290","  320","0.0","10.3","13.0","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-24","4.1"," 0057"," 0056","0.0",,"0.0","203.0",,"-7.2","-12.8",,"  320","  320","0.0","8.9","10.7",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-25","3.7"," 1617"," 1637","0.0",,"0.0","203.0",,"-7.8","-14.4",,"  250","  250","0.0","7.2","8.9","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-26","2.9"," 1504"," 1456","0.0",,"0.0","178.0",,"-6.1","-19.4",,"  250","  250","0.0","7.6","9.4","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-27","1.2"," 1917"," 2143","0.0",,"0.0","178.0",,"-6.1","-16.7",,"  110","   60","0.0","3.6","4.0","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-28","3.8"," 1647"," 2326","2.3",,"48.0","229.0",,"-5.6","-9.4",,"  260","  210","0.0","8.9","10.7","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-29","5.1"," 0409"," 0419","3.3",,"61.0","229.0",,"-2.2","-10.6",,"  200","  200","0.0","8.0","10.7","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,"    1"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-30","4.7"," 1643"," 1631","0.5",,"30.0","279.0",,"-5.6","-10.0",,"  290","  290","0.0","8.9","11.2","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-31","5.6"," 1622"," 1640","0.0",,"0.0","279.0",,"2.2","-11.1",,"  200","  210","0.0","9.4","12.5","    1",,,,,,,"    1",,,,,,,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-01","6.7"," 0109"," 0103","0.0",,"0.0","254.0",,"3.9","-3.9",,"  240","  250","0.0","13.0","15.6",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-02","4.4"," 1650"," 1634","0.0",,"0.0","229.0",,"-0.6","-6.7",,"  240","  260","0.0","8.0","9.8",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-03","4.2"," 1947"," 1937","0.8",,"23.0","254.0",,"-2.8","-13.3",,"   10","   10","0.0","9.4","13.4","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-04","2.6"," 1118"," 1118","0.0",,"0.0","229.0",,"-8.9","-16.1",,"   10","   10","0.0","7.6","8.9",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-05","4.3"," 1705"," 1608","0.0",,"0.0","229.0",,"-6.1","-17.2",,"  170","  190","0.0","8.0","10.3",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-06","3.5"," 2359"," 2355","0.0",,"0.0","229.0",,"3.9","-8.9",,"  180","  180","0.0","7.6","9.8",,,,,,,,"    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-07","7.2"," 1250"," 1249","0.0",,"0.0","178.0",,"11.1","3.3",,"  240","  230","0.0","14.8","18.3","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-08","3.1"," 1546"," 0209","0.0",,"0.0","0.0",,"4.4","-3.9",,"  250","  290","0.0","6.7","9.4",,,,,,,"    1","    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-09","3.6"," 1755"," 2101","6.4",,"0.0","0.0",,"5.0","-5.6",,"  100","  130","0.0","7.2","9.4","    1",,,,"    1",,"    1","    1",,,"    1",,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-10","5.9"," 1358"," 1310","1.0",,"0.0","0.0",,"16.1","4.4",,"  230","  230","0.0","13.9","19.2","    1",,,,,,,,,,"    1",,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-11","4.6"," 2322"," 2324","16.3",,"0.0","0.0",,"13.3","3.3",,"  290","  270","0.0","13.4","18.3","    1","    1",,,"    1",,,,"    1",,"    1",,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-12","8.1"," 1151"," 0727","0.5",,"0.0","0.0",,"3.9","0.0",,"  270","  270","0.0","13.0","16.5",,,,,"    1",,"    1","    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-13","2.4"," 1052"," 0808","0.5",,"5.0","0.0",,"1.1","-1.1",,"  280","  300","0.0","5.4","7.6","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-14","2.7"," 1714"," 1611","6.6",,"89.0","76.0",,"0.0","-2.8",,"  330","  330","0.0","5.8","7.6","    1",,,,,,,,,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-15","1.5"," 1612"," 1612","0.3",,"5.0","51.0",,"0.0","-8.3",,"  360","  360","0.0","5.4","6.3","    1",,,,,,,,,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-16","1.8"," 1555"," 1531","0.0",,"0.0","51.0",,"-1.7","-11.7",,"  250","  250","0.0","6.3","7.2",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-17","5.1"," 1624"," 1530","1.3",,"5.0","25.0",,"4.4","-5.6",,"  170","  170","0.0","8.9","10.7",,,,,"    1",,,,,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-18","5.1"," 2226"," 1753","0.8",,"0.0","0.0",,"3.3","-5.6",,"  320","  310","0.0","11.2","14.8","    1",,,,"    1",,,"    1",,,,"    1","    1",,"    1","    1",,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-19","7.9"," 1201"," 0923","0.0",,"5.0","0.0",,"-5.6","-8.3",,"  300","  320","0.0","12.5","16.1",,,,,,,"    1","    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-20","4.3"," 0059"," 2354","0.0",,"0.0","0.0",,"-3.9","-8.9",,"  310","  300","0.0","8.0","10.7",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-21","6.8"," 2008"," 2007","10.9",,"122.0","0.0",,"-1.1","-8.9",,"  240","  230","0.0","12.5","15.6","    1","    1",,,,,,"    1","    1",,"    1",,"    1",,"    1",,,"    1"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-22","6.0"," 1610"," 1716","0.0",,"0.0","102.0",,"-1.7","-7.8",,"  290","  290","0.0","10.7","13.4",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-23","2.3"," 1106"," 1038","0.0",,"0.0","76.0",,"-3.3","-12.2",,"  350","  320","0.0","4.5","5.8","    1",,,,,,,,,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-24","3.6"," 1533"," 1532","0.0",,"0.0","51.0",,"0.0","-14.4",,"  170","  160","0.0","7.6","9.4","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-25","3.6"," 0949"," 0944","1.8",,"0.0","51.0",,"5.6","-4.4",,"  190","  190","0.0","8.0","9.8",,,,,"    1",,"    1","    1",,,,,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-26","4.0"," 1852"," 1851","34.8",,"0.0","25.0",,"10.0","-3.9",,"  120","  120","0.0","9.4","11.2","    1","    1","    1",,"    1",,"    1","    1","    1",,,,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-27","6.2"," 0930"," 0834","2.3",,"0.0","0.0",,"8.9","-9.4",,"  330","  330","0.0","10.3","13.0","    1","    1",,,"    1",,,,"    1",,"    1",,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-02-28","3.4"," 1230"," 0902","0.0",,"0.0","0.0",,"-2.8","-10.6",,"   50","   50","0.0","7.2","9.4",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-01","5.2"," 1517"," 1327","0.0",,"0.0","0.0",,"-4.4","-12.2",,"   20","  340","0.0","9.4","11.2",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-02","3.6"," 0005"," 0005","0.0",,"0.0","0.0",,"-5.0","-15.0",,"   20","   30","0.0","7.6","9.8",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-03","1.0"," 1639"," 1638","0.0",,"0.0","0.0",,"-2.2","-13.9",,"  240","  240","0.0","4.0","4.5",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-04","3.2"," 1236"," 1235","0.0",,"0.0","0.0",,"5.0","-9.4",,"  190","  200","0.0","6.3","7.6",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-05","6.2"," 1552"," 1548","0.0",,"0.0","0.0",,"17.2","-1.1",,"  180","  180","0.0","11.2","14.8",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-06","5.8"," 0842"," 0600","0.0",,"0.0","0.0",,"14.4","1.1",,"  260","  230","0.0","11.2","14.8","    1",,,,,,"    1","    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-07","2.4"," 1354"," 1618","16.0",,"0.0","0.0",,"5.0","-1.1",,"   80","   80","0.0","6.3","10.7","    1","    1",,,"    1",,,"    1","    1",,"    1",,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-08","7.0"," 1725"," 1724","15.0",,"0.0","0.0",,"7.8","1.1",,"  100","   90","0.0","12.5","16.1","    1","    1","    1",,"    1",,,,"    1",,,,,,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-09","3.3"," 0100"," 0100","0.0",,"0.0","0.0",,"6.7","-0.6",,"  330","  320","0.0","8.0","10.7","    1",,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-10","5.4"," 2323"," 2321","13.0",,"0.0","0.0",,"15.0","3.3",,"  260","  250","0.0","19.2","23.2","    1",,,,"    1",,,,,"    1","    1","    1","    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-11","10.4"," 0509"," 0434","0.3",,"5.0","0.0",,"8.9","-5.6",,"  250","  270","0.0","17.9","22.8","    1",,,,,,,,,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-12","3.1"," 0015"," 0136","0.0",,"0.0","0.0",,"-2.2","-7.8",,"  310","  320","0.0","8.0","10.3",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-13","2.0"," 1437"," 1659","0.0",,"0.0","0.0",,"3.9","-8.9",,"  240","  240","0.0","7.2","11.6",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-14","1.9"," 1257"," 1256","0.0",,"0.0","0.0",,"9.4","-5.0",,"  220","  210","0.0","5.8","7.6",,,,,,,,"    1",,,,,,,,,,
