Date,Occupancy,N_Admitted,FreshWater,HighChlorine,LowChlorine,TotalWater,MedStaffHRZ,WASHStaffHRZ,TotalStaffHRZ,BagsIncineratedHRZ,BagsIncineratedLRZ,LatrinesDisinfected,CubicalBedsDisinfected,HandwashBuckets,WardsDisinfected,ScrubsLaundered,ApronsLaundered,BootsLaundered,HeavyGlovesLaundered,GogglesDisinfected,SprayerRepaired,S_CoverallsUsed,M_CoverallsUsed,L_CoverallsUsed,XL_CoverallsUsed,XXL_CoverallsUsed,CoverallsUsed,N95Used,HoodsUsed,PPEDamaged,Location,Month,Year,Week
2015-12-03T00:00:00Z,NA,0,6800,1100,2010,9910,2,7,9,3,17,3,0,16,2,113,32,185,32,21,4,0,1,1,1,6,9,9,9,NA,Kambia,Dec,2015,49
2015-12-04T00:00:00Z,NA,0,5300,520,1460,7280,0,0,0,0,16,3,0,17,0,100,39,150,34,0,0,0,0,0,0,0,0,0,NA,NA,Kambia,Dec,2015,49
2015-12-05T00:00:00Z,NA,0,6200,470,1680,8350,0,0,0,0,15,4,0,15,0,98,26,170,33,0,2,0,0,0,0,0,0,0,0,NA,Kambia,Dec,2015,49
2015-12-06T00:00:00Z,NA,0,4200,330,920,5450,0,0,0,0,14,3,0,17,0,99,35,170,29,0,0,0,0,0,0,0,0,0,0,NA,Kambia,Dec,2015,49
2015-12-07T00:00:00Z,NA,1,7465,1020,1060,9545,9,6,15,3,19,4,2,16,2,103,28,162,23,9,0,0,0,2,4,9,15,15,15,NA,Kambia,Dec,2015,49
2015-12-08T00:00:00Z,NA,0,6300,300,630,7230,0,4,4,0,17,3,0,18,3,98,56,184,36,16,0,0,0,0,0,4,4,4,4,NA,Kambia,Dec,2015,49
2015-12-09T00:00:00Z,NA,0,6000,600,1260,7860,0,4,4,0,21,5,0,15,3,91,19,174,25,12,6,0,0,0,3,1,4,4,4,NA,Kambia,Dec,2015,49
2015-12-10T00:00:00Z,NA,0,5500,270,730,6500,0,5,5,0,18,3,0,17,0,105,41,179,34,0,0,0,0,0,0,0,0,0,0,NA,Kambia,Dec,2015,50
2015-12-11T00:00:00Z,NA,0,5050,350,1280,6680,0,5,5,2,25,4,0,14,3,111,36,185,34,5,8,0,0,0,0,5,5,5,5,NA,Kambia,Dec,2015,50
2015-12-12T00:00:00Z,NA,0,4800,1080,270,6150,0,0,0,0,18,3,0,16,0,89,20,157,15,0,3,0,0,0,0,0,0,0,0,NA,Kambia,Dec,2015,50
2015-12-13T00:00:00Z,NA,0,5700,450,1230,7380,0,4,4,3,16,5,1,17,3,102,57,150,33,8,5,0,1,0,2,1,4,4,4,NA,Kambia,Dec,2015,50
2015-12-14T00:00:00Z,NA,0,5000,470,1260,6730,0,3,3,0,20,4,0,19,3,117,48,197,39,3,7,0,0,0,1,2,3,3,3,NA,Kambia,Dec,2015,50
2015-12-15T00:00:00Z,NA,0,5185,450,1640,7275,0,4,4,4,17,3,0,16,2,120,25,191,33,7,4,0,0,0,1,3,4,4,4,NA,Kambia,Dec,2015,50
