"n_buzzes","ODBA","duration","depth","exposure","dive_state","ind_size","sound_level","time_of_day","group_size","water_depth","individual"
0,2.85326706310428,10.8,1.83162037722029,0,"Surf","Small",0,15.2716666666667,9,400,"gm08_150c"
0,2.25001171093412,11.8000000000002,2.37077049364302,0,"Surf","Small",0,15.2747222222222,9,400,"gm08_150c"
0,3.32417205029251,15.8,3.46747439049844,0,"Surf","Small",0,15.2780555555556,9,400,"gm08_150c"
0,1.46097901167492,11.8,2.42443581076069,0,"Surf","Small",0,15.2825,9,400,"gm08_150c"
0,3.99619497984431,13.2,2.77235614113301,0,"Travel","Small",0,15.2861111111111,9,400,"gm08_150c"
0,3.90007411090837,33.8,3.98723097441701,0,"Travel","Small",0,15.2897222222222,9,400,"gm08_150c"
0,3.70214870061802,20.2,4.83101491779202,0,"Travel","Small",0,15.2991666666667,9,400,"gm08_150c"
0,5.20683917591608,167.8,11.8607725233889,0,"Scouting","Small",0,15.305,9,400,"gm08_150c"
0,4.68369353065016,18,4.77497971390485,0,"Travel","Small",0,15.3516666666667,9,450,"gm08_150c"
0,4.95684755387794,22,2.39536855166781,0,"Travel","Small",0,15.3566666666667,9,450,"gm08_150c"
0,5.32147336372695,34.5999999999999,4.33678264223504,0,"Travel","Small",0,15.3630555555556,9,450,"gm08_150c"
0,4.13689554714437,25,4.52506367764365,0,"Travel","Small",0,15.3725,9,450,"gm08_150c"
0,6.41898975217669,9.79999999999973,2.58744482936284,0,"Travel","Small",0,15.3797222222222,9,450,"gm08_150c"
0,4.37618088296396,14,3.39624128792393,0,"Travel","Small",0,15.3825,9,450,"gm08_150c"
0,4.55669632719052,66.8000000000002,7.36390699974096,0,"Directed","Small",0,15.3863888888889,9,450,"gm08_150c"
0,3.72066374877262,14.3999999999996,1.99840958378782,0,"Travel","Small",0,15.405,9,450,"gm08_150c"
0,5.52207412591047,51.4000000000001,5.83481383525123,0,"Directed","Small",0,15.4091666666667,9,450,"gm08_150c"
0,4.6575823118932,34.6000000000004,7.51964809214538,0,"Directed","Small",0,15.4236111111111,9,450,"gm08_150c"
0,3.96509842292996,14.8000000000002,3.92021456945706,0,"Travel","Small",0,15.4333333333333,9,450,"gm08_150c"
0,4.61522221800717,47.6000000000004,7.84920949414786,0,"Directed","Small",0,15.4375,9,500,"gm08_150c"
0,5.00884077940731,23.1999999999998,4.09670616615364,0,"Travel","Small",0,15.4508333333333,9,450,"gm08_150c"
0,4.75691640760178,22,3.9288941473832,0,"Travel","Small",0,15.4572222222222,9,450,"gm08_150c"
0,4.33953925232135,33.5999999999999,7.28475041559413,0,"Directed","Small",0,15.4633333333333,9,450,"gm08_150c"
0,3.60963464208241,23.1999999999998,2.74659953219758,0,"Travel","Small",0,15.4727777777778,9,450,"gm08_150c"
0,4.69041456276064,19.1999999999998,2.87532636379771,0,"Travel","Small",0,15.4794444444444,9,450,"gm08_150c"
0,5.65240006664741,31.1999999999998,3.70856194645532,0,"Travel","Small",0,15.4847222222222,9,450,"gm08_150c"
0,3.94116804888024,21,3.01233527395188,0,"Travel","Small",0,15.4936111111111,9,450,"gm08_150c"
0,3.77274187181697,17.7999999999997,2.16655492478137,0,"Travel","Small",0,15.4994444444444,9,450,"gm08_150c"
0,2.95295262289748,15.7999999999997,2.88391154331969,0,"Travel","Small",0,15.5044444444444,9,450,"gm08_150c"
0,4.4893949807559,17.1999999999998,2.44949303092984,0,"Travel","Small",0,15.5088888888889,9,450,"gm08_150c"
0,2.52928707953046,18,3.47513549682992,0,"Travel","Small",0,15.5138888888889,9,450,"gm08_150c"
0,3.81440150599297,14.1999999999998,2.48327370305295,0,"Travel","Small",0,15.5188888888889,9,450,"gm08_150c"
0,3.62376690402286,18.7999999999997,4.0133962683639,0,"Travel","Small",0,15.5230555555556,9,450,"gm08_150c"
0,3.3727116456423,17.4000000000001,3.03123903252643,0,"Travel","Small",0,15.5283333333333,9,500,"gm08_150c"
0,5.67714856576108,16,3.19729052770422,0,"Travel","Small",0,15.5333333333333,9,500,"gm08_150c"
0,3.82954670628258,19.2000000000003,3.97831391473492,0,"Travel","Small",0,15.5377777777778,9,450,"gm08_150c"
0,3.98432439831147,45,3.86347979619663,0,"Directed","Small",0,15.5430555555556,9,450,"gm08_150c"
0,3.25003600176086,22.7999999999997,2.96371469277364,0,"Travel","Small",0,15.5558333333333,9,500,"gm08_150c"
0,3.70937611212376,18,3.70522004408975,0,"Travel","Small",0,15.5622222222222,9,500,"gm08_150c"
0,4.04731006522803,21.4000000000001,4.31645627837406,0,"Travel","Small",0,15.5672222222222,9,500,"gm08_150c"
0,3.29694887904155,30.5999999999999,5.08595824887124,0,"Travel","Small",0,15.5733333333333,9,500,"gm08_150c"
0,3.46521870706819,21.6000000000004,4.33603571076157,0,"Travel","Small",0,15.5819444444444,9,500,"gm08_150c"
0,4.40384313390642,26,2.85336730735644,0,"Travel","Small",0,15.5880555555556,9,500,"gm08_150c"
0,3.28756984715404,26,3.14139712923159,0,"Travel","Small",0,15.5952777777778,9,500,"gm08_150c"
0,3.84600415370113,32,6.05642126175878,0,"Directed","Small",0,15.6025,9,500,"gm08_150c"
1,3.9455300164702,23.4000000000001,3.49832875735869,0,"Travel","Small",0,15.6116666666667,9,500,"gm08_150c"
1,3.66808698265233,21.7999999999997,4.71407265932608,0,"Travel","Small",0,15.6180555555556,9,500,"gm08_150c"
1,3.56391550108352,34.5999999999999,6.43688909590417,0,"Directed","Small",0,15.6244444444444,9,500,"gm08_150c"
1,1.87454305815019,26.4000000000001,7.00976389848984,0,"Directed","Small",0,15.6341666666667,9,500,"gm08_150c"
1,4.1449209403831,32,4.13157699838662,0,"Travel","Small",0,15.6413888888889,9,500,"gm08_150c"
