Tag ID,Tag Type,Field Site,Duration,Depth,Descent_Rate,Ascent_Rate,Descent_Pitch,Ascent_Pitch,Var_Pitch,Bottom_Duration,Surface_Duration,Var_Heading,Var_Roll,ODBA,Wiggliness
ha13_176a,dtag,Jan Mayen,340.2,88.881674,0.578262531,0.799272804,-0.332366354,0.332318744,0.058894935,1.966666667,2.226666667,0.153499066,0.252867405,1.898568085,0.166015963
ha13_176a,dtag,Jan Mayen,162.2,43.537034,0.506913857,0.626307239,-0.250506941,0.312500174,0.06047937,0.506666667,0.316666667,0.416258456,0.206162025,2.681444699,0.14485718
ha13_176a,dtag,Jan Mayen,445.4,117.030949,1.078063312,0.430913789,-0.593555952,0.196189761,0.060298033,2.046666667,7.243333333,0.057325439,0.253599942,1.957471247,0.143046337
ha13_176a,dtag,Jan Mayen,122,21.749047,0.381644439,0.356214228,-0.396643937,0.23601871,0.05733078,0.43,1.4,0.585771766,0.11958574,1.848223099,0.163280299
ha13_176a,dtag,Jan Mayen,2297.6,1307.779057,1.163570962,1.09283919,-0.74027876,0.660848447,0.301688089,5.423333333,3.246666667,0.468993587,0.616751896,1.681323336,0.189546937
ha13_176a,dtag,Jan Mayen,814.6,110.849168,0.192401579,0.709325023,-0.176408196,0.640440083,0.078415995,3.24,2.88,0.688833291,0.085029327,1.700308873,0.055178413
ha13_176a,dtag,Jan Mayen,448,111.382657,0.410522172,0.645475967,-0.331886685,0.547529991,0.114180195,1.29,4.213333333,0.468326286,0.075825812,1.15755543,0.208723257
ha13_176a,dtag,Jan Mayen,2287.6,1468.69444,1.280547164,1.644180315,-0.761172323,1.033324016,0.369508146,9.233333333,3.053333333,0.38291624,0.677336782,1.435781287,0.138860365
ha13_176a,dtag,Jan Mayen,249.2,37.307293,0.765917892,0.502944263,-0.634466425,0.349375357,0.077257065,2.436666667,1.673333333,0.697795547,0.011343585,1.730300041,0.047550057
ha13_176a,dtag,Jan Mayen,656.4,113.423752,0.33386388,0.468316095,-0.391915866,0.407496666,0.084635501,2.773333333,2.843333333,0.175759812,0.023895059,1.117556714,0.169565238
ha13_176a,dtag,Jan Mayen,81.6,11.668159,0.321949189,0.373745736,-0.193778048,0.161860403,0.016101787,0.44,0.446666667,0.002979536,0.001818112,0.85839452,0.169979852
ha13_176a,dtag,Jan Mayen,89.8,12.915551,0.231703596,0.268873683,-0.166811601,0.174349715,0.02263818,0.183333333,2.296666667,0.24944143,0.095583949,1.114880819,0.266974164
ha13_176a,dtag,Jan Mayen,85.2,11.521459,0.181352829,0.53960069,-0.363014129,0.44622591,0.062234855,0.373333333,2.323333333,0.04914969,0.050845951,1.42160207,0.260046859
ha13_176a,dtag,Jan Mayen,2817.4,1687.53262,1.408001075,1.184632195,-0.785893774,0.980377904,0.376314778,9.803333333,2.44,0.66308114,0.637672329,1.556773482,0.232769373
ha13_176a,dtag,Jan Mayen,692.4,94.174874,0.422362582,0.377294957,-0.516637758,0.299896057,0.059387466,4.876666667,3.286666667,0.132231862,0.014079408,1.665945496,0.030559869
